City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,cabo san lucas,22.8909,-109.9124,19.73,86,75,0.45,MX,1675266112
72,katherine,-14.4667,132.2667,26.18,89,100,2.06,AU,1675266005
73,paka,4.6374,103.4368,24.96,94,100,2.57,MY,1675266113
74,vila velha,-20.3297,-40.2925,29.97,72,20,6.69,BR,1675266113
75,monroe,43.1501,-77.6831,-5.21,67,100,6.69,US,1675266114
76,marzuq,14.4,46.4667,18.76,52,3,3.38,YE,1675266114
77,holguin,20.8872,-76.2631,26.72,65,40,6.17,CU,1675266115
78,vestmannaeyjar,63.4427,-20.2734,2.55,75,40,5.14,IS,1675266115
79,mahebourg,-20.4081,57.7,27.16,78,75,2.57,MU,1675266116
80,hilo,19.7297,-155.09,21.25,93,0,0.89,US,1675266116
81,linares,-35.85,-71.6,28.75,23,0,3.0,CL,1675266117
82,tura,25.5198,90.2201,15.88,37,0,0.66,IN,1675266117
83,jasper,37.2001,-94.3502,-2.78,57,40,0.89,US,1675266117
84,biloela,-24.4167,150.5,24.49,88,99,0.23,AU,1675266118
85,saint anthony,45.0205,-93.218,-12.55,76,0,2.06,US,1675266118
86,ostrovnoy,68.0531,39.5131,-7.17,90,99,8.06,RU,1675266119
87,syracuse,37.0881,15.2792,14.77,53,1,4.27,IT,1675266119
88,noumea,-22.2763,166.4572,21.99,81,26,0.99,NC,1675266120
89,tres barras,-26.1064,-50.3222,27.18,61,48,1.67,BR,1675266120
90,iskateley,67.6803,53.1512,-3.87,94,99,7.56,RU,1675266121
91,kahului,20.8947,-156.47,22.13,94,0,1.79,US,1675266121
92,prince george,53.9166,-122.753,-3.19,94,100,3.6,CA,1675265853
93,jamestown,42.097,-79.2353,-6.23,85,100,5.66,US,1675266122
94,tessalit,20.1986,1.0114,28.58,5,19,2.38,ML,1675266123
95,nabire,-3.3667,135.4833,24.41,93,100,2.03,ID,1675266123
96,priargunsk,50.3691,119.1012,-31.89,95,4,1.16,RU,1675266124
97,makakilo city,21.3469,-158.0858,20.55,91,0,1.54,US,1675266125
98,yuncheng,35.0231,110.9928,1.11,29,96,2.82,CN,1675266125
99,nicoya,10.1483,-85.452,30.46,42,30,5.46,CR,1675266126
100,mar del plata,-38.0023,-57.5575,24.35,81,75,5.36,AR,1675266126
101,saint george,37.1041,-113.5841,-5.67,68,0,0.0,US,1675266008
102,karaton,-6.3424,106.1045,23.98,91,95,1.42,ID,1675266127
103,port macquarie,-31.4333,152.9167,21.61,93,33,1.69,AU,1675265939
104,carcassonne,43.25,2.1667,10.36,65,75,8.75,FR,1675266128
105,girne,35.3417,33.3167,7.75,72,100,4.49,CY,1675266129
106,lamar,33.6668,-95.5836,-2.58,95,100,2.57,US,1675266129
107,nouadhibou,20.931,-17.0347,21.99,53,82,7.2,MR,1675266130
108,volax,41.3167,24.0,-0.9,73,13,2.26,GR,1675266131
109,touros,-5.1989,-35.4608,30.34,56,93,6.68,BR,1675266131
110,klaksvik,62.2266,-6.589,2.51,63,86,5.63,FO,1675266132
111,bethel,41.3712,-73.414,0.01,56,0,3.09,US,1675266133
112,kavaratti,10.5669,72.642,26.86,77,75,6.49,IN,1675266133
113,kodiak,57.79,-152.4072,1.73,87,100,2.06,US,1675266134
114,atar,20.5169,-13.0499,28.97,7,62,2.9,MR,1675266134
115,voh,-20.9667,164.7,22.79,81,71,1.18,NC,1675266135
116,kupang,-10.1667,123.5833,26.76,82,85,2.43,ID,1675266135
117,peniche,39.3558,-9.3811,15.6,68,0,2.03,PT,1675266136
118,xuddur,4.1213,43.8894,29.34,22,0,5.13,SO,1675266136
119,adrar,20.5022,-10.0711,25.24,7,91,2.99,MR,1675266137
120,gilgit,35.9221,74.3087,1.05,62,100,1.03,PK,1675266137
121,longyearbyen,78.2186,15.6401,-9.09,73,40,6.69,SJ,1675266139
122,taseyevo,57.2169,94.8978,-20.3,100,98,0.74,RU,1675266139
123,khatanga,71.9667,102.5,-43.05,100,71,1.42,RU,1675266140
124,dalian,38.9122,121.6022,-2.31,25,0,3.0,CN,1675266140
125,ukiah,39.1502,-123.2078,6.13,86,0,0.0,US,1675266141
126,ufimskiy,56.7084,58.0517,-15.46,99,86,1.24,RU,1675266142
127,provideniya,64.3833,-173.3,-5.77,93,100,2.29,RU,1675266142
128,saint-pierre,-21.3393,55.4781,26.82,74,75,7.72,RE,1675266142
129,lebu,-37.6167,-73.65,16.88,68,2,8.69,CL,1675266143
130,labuhan,-6.8844,112.2051,25.19,90,100,3.56,ID,1675266144
131,geraldton,-28.7667,114.6,24.23,78,0,4.63,AU,1675266144
132,kampot,10.6167,104.1833,24.03,72,96,1.34,KH,1675266145
133,anadyr,64.75,177.4833,-4.72,93,75,5.0,RU,1675266145
134,nikolskoye,59.7035,30.7861,-0.05,92,100,2.9,RU,1675266146
135,georgetown,5.4112,100.3354,26.96,100,20,1.54,MY,1675266078
136,aloleng,16.1307,119.7824,25.59,75,0,5.2,PH,1675266146
137,kangaatsiaq,68.3065,-53.4641,-19.29,94,100,2.65,GL,1675266147
138,penzance,50.1186,-5.5371,10.38,66,40,9.26,GB,1675266148
139,cape town,-33.9258,18.4232,25.62,60,20,8.75,ZA,1675266148
140,ilulissat,69.2167,-51.1,-11.99,61,75,6.69,GL,1675266150
141,kalmunai,7.4167,81.8167,25.13,83,100,4.63,LK,1675266150
142,mehamn,71.0357,27.8492,-0.03,64,20,6.17,NO,1675266151
143,luwingu,-10.2621,29.9271,20.19,85,84,0.79,ZM,1675266151
144,talnakh,69.4865,88.3972,-13.77,95,100,6.61,RU,1675266152
145,pacific grove,36.6177,-121.9166,9.8,52,0,2.57,US,1675266152
146,gamba,-2.65,10.0,28.37,73,79,4.3,GA,1675266153
147,bengkulu,-3.8004,102.2655,24.85,89,100,2.03,ID,1675266153
148,iquitos,-3.7481,-73.2472,30.02,84,75,3.09,PE,1675266154
149,utrecht,52.0,5.25,8.88,80,100,6.26,NL,1675265895
150,narsaq,60.9167,-46.05,-3.88,73,100,2.92,GL,1675266155
151,ascension,30.2169,-90.9001,9.0,93,100,2.57,US,1675266155
152,pangnirtung,66.1451,-65.7125,-29.0,52,75,1.03,CA,1675266156
153,slyudyanka,51.6594,103.7061,-15.67,89,20,2.52,RU,1675266156
154,chuy,-33.6971,-53.4616,26.7,61,58,5.4,UY,1675266157
155,rocha,-34.4833,-54.3333,29.05,46,11,5.97,UY,1675266157
156,anupshahr,28.3667,78.2667,13.04,63,0,4.01,IN,1675266158
157,half moon bay,37.4636,-122.4286,8.47,66,0,0.0,US,1675266158
158,lavrentiya,65.5833,-171.0,-10.25,96,98,1.08,RU,1675266159
159,nyuksenitsa,60.4128,44.2397,-2.98,92,98,3.71,RU,1675266159
160,mitu,1.1983,-70.1733,31.68,35,56,2.41,CO,1675266160
161,najran,17.4924,44.1277,28.36,22,3,1.44,SA,1675265657
162,ewa beach,21.3156,-158.0072,21.34,92,0,1.54,US,1675266160
163,shiyan,32.6475,110.7781,3.84,22,87,4.17,CN,1675266161
164,banjar,-8.19,114.9675,25.08,95,100,1.21,ID,1675266161
165,mocuba,-16.8392,36.9856,25.52,83,25,2.88,MZ,1675266162
166,san quintin,30.4833,-115.95,12.59,59,7,0.33,MX,1675266163
167,bose,45.4612,8.0137,12.77,54,0,0.56,IT,1675266163
168,ambatofinandrahana,-20.55,46.8,17.5,88,100,2.78,MG,1675266164
169,fare,-16.7,-151.0167,27.72,72,56,8.4,PF,1675266165
170,oudtshoorn,-33.5907,22.2014,21.2,54,67,5.25,ZA,1675265635
171,carnarvon,-24.8667,113.6333,25.79,76,4,6.05,AU,1675266165
172,balvi,57.1313,27.2658,-0.76,97,100,2.88,LV,1675266166
173,saldanha,-33.0117,17.9442,25.03,85,25,7.91,ZA,1675266166
